detector,heldout_family,clean,none,c,cplus,worst_evasion
CANOPI,confusable_known,0.96,0.96,0.96,0.96,homoglyph_base@0.3
CANOPI,confusable_tr39,0.96,0.9725,0.9525,0.96,homoglyph_tr39@0.3
CANOPI,smallcap_oom,0.96,0.99,0.99,0.96,smallcap_oom@0.3
CANOPI,invisible_tag,0.96,0.96,0.96,0.96,zero_width@0.3
CANOPI,structural,0.96,0.1725,0.9475,0.9475,leet@0.3
CANOPI,semantic,0.96,0.9575,0.9575,0.9575,paraphrase@0.3
regex,confusable_known,0.1325,0.0175,0.1325,0.1325,homoglyph_base@0.3
regex,confusable_tr39,0.1325,0.0,0.005,0.1325,homoglyph_tr39@0.3
regex,smallcap_oom,0.1325,0.0,0.0,0.1325,smallcap_oom@0.3
regex,invisible_tag,0.1325,0.0,0.0,0.13,tag_smuggle@0.3
regex,structural,0.1325,0.0075,0.025,0.025,spacing@0.9
regex,semantic,0.1325,0.0575,0.0575,0.0575,paraphrase@0.3
tfidf_svm,confusable_known,0.99,0.3975,0.99,0.99,homoglyph_base@0.3
tfidf_svm,confusable_tr39,0.99,0.0925,0.275,0.99,homoglyph_tr39@0.3
tfidf_svm,smallcap_oom,0.99,0.02,0.065,0.99,smallcap_oom@0.3
tfidf_svm,invisible_tag,0.99,0.08,0.0875,0.99,zero_width@0.3
tfidf_svm,structural,0.99,0.275,0.795,0.795,spacing@0.9
tfidf_svm,semantic,0.99,0.99,0.99,0.99,paraphrase@0.3
protectai/deberta,confusable_known,0.9125,0.9825,0.9125,0.9125,homoglyph_base@0.3
protectai/deberta,confusable_tr39,0.9125,0.9975,0.9975,0.9125,homoglyph_tr39@0.3
protectai/deberta,smallcap_oom,0.9125,0.9975,0.9975,0.9175,smallcap_oom@0.3
protectai/deberta,invisible_tag,0.9125,1.0,0.9125,0.9125,zero_width@0.3
protectai/deberta,structural,0.9125,0.99,0.92,0.92,spacing@0.3
protectai/deberta,semantic,0.9125,0.905,0.905,0.905,paraphrase@0.3
InjecGuard,confusable_known,0.425,0.0025,0.425,0.425,homoglyph_base@0.3
InjecGuard,confusable_tr39,0.425,0.0,0.0,0.425,homoglyph_tr39@0.3
InjecGuard,smallcap_oom,0.425,0.0,0.0,0.365,smallcap_oom@0.9
InjecGuard,invisible_tag,0.425,0.0,0.0,0.4225,tag_smuggle@0.3
InjecGuard,structural,0.425,0.0,0.3,0.3,spacing@0.9
InjecGuard,semantic,0.425,0.3925,0.39,0.39,paraphrase@0.3
