detector,heldout_family,clean,none,c,cplus,worst_evasion
CANOPI,confusable_known,0.96,0.96,0.96,0.96,homoglyph_base@0.3
CANOPI,confusable_tr39,0.96,0.9775,0.9725,0.96,homoglyph_tr39@0.3
CANOPI,smallcap_oom,0.96,0.9925,0.9925,0.9575,smallcap_oom@0.9
CANOPI,invisible_tag,0.96,0.96,0.9575,0.9575,tag_smuggle@0.5
CANOPI,structural,0.96,0.255,0.9575,0.9575,spacing@0.3
CANOPI,semantic,0.96,0.955,0.955,0.955,paraphrase@0.9
regex,confusable_known,0.1325,0.0175,0.1325,0.1325,homoglyph_base@0.3
regex,confusable_tr39,0.1325,0.0,0.0025,0.1325,homoglyph_tr39@0.3
regex,smallcap_oom,0.1325,0.0,0.0,0.1325,smallcap_oom@0.3
regex,invisible_tag,0.1325,0.0025,0.0025,0.1275,tag_smuggle@0.5
regex,structural,0.1325,0.01,0.0275,0.0275,spacing@0.9
regex,semantic,0.1325,0.0575,0.0575,0.0575,paraphrase@0.3
tfidf_svm,confusable_known,0.99,0.3975,0.99,0.99,homoglyph_base@0.3
tfidf_svm,confusable_tr39,0.99,0.09,0.3125,0.99,homoglyph_tr39@0.3
tfidf_svm,smallcap_oom,0.99,0.01,0.055,0.99,smallcap_oom@0.3
tfidf_svm,invisible_tag,0.99,0.075,0.075,0.99,zero_width@0.3
tfidf_svm,structural,0.99,0.275,0.7525,0.7525,spacing@0.9
tfidf_svm,semantic,0.99,0.99,0.99,0.99,paraphrase@0.3
protectai/deberta,confusable_known,0.9125,0.9825,0.9125,0.9125,homoglyph_base@0.3
protectai/deberta,confusable_tr39,0.9125,0.9975,0.9975,0.9125,homoglyph_tr39@0.3
protectai/deberta,smallcap_oom,0.9125,0.9975,0.9975,0.915,smallcap_oom@0.3
protectai/deberta,invisible_tag,0.9125,1.0,0.9125,0.9125,zero_width@0.3
protectai/deberta,structural,0.9125,0.985,0.9225,0.9225,spacing@0.3
protectai/deberta,semantic,0.9125,0.895,0.8975,0.8975,paraphrase@0.7
InjecGuard,confusable_known,0.425,0.0025,0.425,0.425,homoglyph_base@0.3
InjecGuard,confusable_tr39,0.425,0.0,0.0,0.425,homoglyph_tr39@0.3
InjecGuard,smallcap_oom,0.425,0.0,0.0,0.3675,smallcap_oom@0.7
InjecGuard,invisible_tag,0.425,0.0,0.0,0.42,tag_smuggle@0.7
InjecGuard,structural,0.425,0.0,0.295,0.295,spacing@0.9
InjecGuard,semantic,0.425,0.385,0.3825,0.3825,paraphrase@0.5
